AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680060191190,Ad Group For Pin: 687195341909,626735453422,11
2680061533478,PinOT_KW0_LAL810PxHB2_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_Med,626737725681,34
2680062771076,SeedBid1_US_KW4Nails_20180709_off1_XP0_LPX_Search_oCPM_1T_Web,626739917307,45
2680061971758,Pin_KW42I010P_MU2_C06i35-V1A_LP1_C1020_US_TR_XP0_Off1_D1,626738705897,0
2680059882624,Ad Group For Pin: 687195053864,626734577126,0
2680060524602,Ad Group For Pin: 687195756177,626735668408,3
2680059821182,Ad Group For Pin: 687195236067,626734632433,0
2680060299205,Ad Group For Pin: HB2_C3-1_LPA_B0506_US_TR_CP,626735542315,1
2680059614147,Ad Group For Pin: 687195389828,626735472185,0
2680061431296,PinOT_KW2_FrdAll_B12i30P_LPX_C0519_US_TR_XP12c_off1,626737679764,9
2680060124520,Ad Group For Pin: 687195318803,626734657854,0
2680060956369,Ad Group For Pin: 687196190090,626736667365,0
2680060117313,Ad Group For Pin: 687195315989,626734656804,0
2680061971811,Pin_KW42010P_MU1_C09Fall-Pin_LP1_C1020_US_TR_XP0_Off1_D2,626738705979,0
2680061841090,PinOT_KW3_AllPages30_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Web,626738660028,2
2680061329397,PinOT_KW0_LAL810xTopGL_C03TCS_LPA_C0420_US_TR_XP11_off0,626737625119,48
2680061700641,PinOT_KW3_AllPages180_C04i34-NW_LPX_C0811_US_TR_XP13x_off1_Mobile,626738597803,0
2680059993313,Ad Group For Pin: 687195079165,626734585126,0
2680060546869,Ad Group For Pin: 687195774825,626735680061,0
2680062757121,SeedBid2_US_KW4Makeup_20180703_off1_XP0_LPX_Search_CPC_1T_Web,626739917401,0
2680062749859,SeedBid2_US_KW2HairCare_20180702_off1_XP0_LPX_HomeFeed_oCPM_1T_Web,626739913386,4
2680061431297,PinOT_KW2_TopC05_C01i31_LPX_C0519_US_TR_XP12c_off1,626737679748,82
2680061840464,PinBid1_KW2_C09HBInt_C02i33W-NW_LPX_C0920_US_TR_GE_off1_Mobile,626738659635,11
2680062717684,SeedBid1_US_KW2Beauty+KW_20180620_Off0_XP0_LPX_Search_oCPM_2Tap_D06RoxetteSocial-V2-Long,626739892658,93
2680059601847,Ad Group For Pin: 687195524703,626735537983,21
2680062659201,PinOT_KW0_LAL810PXCSSummerDo4MktgBag-V2_LPX_D0531_US_TR_XP0_off1,626739859451,0
2680061700624,PinOT_KW2_Csummer_C02i33W-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597781,7
2680062756985,SeedBid1_US_KW4Influencers_20180702_off1_XP0_LPX_Search_oCPM_1T_Mobile,626739917307,18
2680060191036,Ad Group For Pin: 687195341839,626735453373,1
2680060086058,Ad Group For Pin: 687195511577,626735531435,23
2680060086311,Ad Group For Pin: 687195511691,626735531473,0
2680060117572,Ad Group For Pin: 687195316086,626734656876,0
2680060561620,Ad Group For Pin: 687195789538,626735689397,1
2680062757129,SeedBid2_US_KW4HairCare_20180703_off1_XP0_LPX_Search_CPC_1T_Mobile,626739917401,0
2680061007620,Ad Group For Pin: 687196245922,626736701780,94
2680061626257,PinOT_KW2_MakeupXL2_C04i34-NW_LPX_C0721_US_TR_XP13x_off1,626737772164,24
2680059641679,Ad Group For Pin: 687195397173,626735475136,1
2680059701735,Ad Group For Pin: 687195412075,626735481687,0
2680061700629,PinOT_KW3_AllPages180_C04i34-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597773,0
2680060086245,Ad Group For Pin: 687195511667,626735531459,31
2680061971790,Pin_KW3_HP30D_C09Fall-Pin_LP1_C1020_US_TR_XP0_Off1_D2,626738705992,0
2680062749834,SeedBid2_US_KWBox_20180702_off1_XP0_LPX_Search_oCPI_1T_Android,626739913377,4
2680059655873,Ad Group For Pin: 687195401357,626735476582,58
2680061793609,PinOT_KW2_C09Makeup_B12i30P_LPX_C0908_US_TR_GE_off1_Web,626738640758,0
2680059700958,Ad Group For Pin: 687195412052,626735481505,6
2680059701348,Ad Group For Pin: 687195412114,626735481595,1
2680059896739,Ad Group For Pin: 687195462054,626735504534,17
2680060956397,Ad Group For Pin: 687196190117,626736667388,0
2680061971808,Pin_KW2S_MU1_C06i35-V1B_LP1_C1020_US_TR_XP0_Off1_D2,626738705946,0
2680061793630,PinBid1_KW2_C09Makeup_i32W-NW_LPX_C0908_US_TR_GE_off1_Mobile_P45,626738640766,1
2680059807754,Ad Group For Pin: 687195034909,626734569159,0
2680060152883,Ad Group For Pin: 687195122894,626734601371,0
2680061329344,PinOT_KW2_TopC03_C01Swatch_LPA_C0420_US_TR_GE_off0,626737625079,32
2680059701905,Ad Group For Pin: 687195412256,626735481728,0
2680059614204,Ad Group For Pin: 687195389820,626735472202,0
2680061700648,PinOT_KW0_LAL810PxMakeupXL2_C04i34-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597795,6
2680061431256,PinOT_KW2_TopGL_i32P_LPX_C0519_US_TR_XP12c_off1,626737679733,20
2680060086242,Ad Group For Pin: 687195511672,626735531458,54
2680060956302,Ad Group For Pin: 687196190023,626736667281,0
2680060524624,Ad Group For Pin: 687195756199,626735668396,21
2680061793616,PinOT_KW2_C09Makeup_i32W-NW_LPX_C0908_US_TR_GE_off1_Web_P45,626738640763,0
2680060191077,Ad Group For Pin: 687195341848,626735453387,0
2680059655878,Ad Group For Pin: 687195401356,626735476583,2
2680061840748,PinOT_KW2_C09Makeup_C01i31_LPX_C0920_US_TR_GE_off1_Web,626738659801,0
2680059700856,Ad Group For Pin: 687195411994,626735481484,0
2680060085878,Ad Group For Pin: 687195511613,626735531405,0
2680059641667,Ad Group For Pin: 687195397165,626735475132,0
2680060124635,Ad Group For Pin: 687195318847,626734657891,0
2680059623841,Ad Group For Pin: 687195184784,626734616945,0
2680059701731,Ad Group For Pin: 687195412163,626735481686,0
2680060561606,Ad Group For Pin: 687195789522,626735689426,0
2680059701747,Ad Group For Pin: 687195412145,626735481690,0
2680060681820,Ad Group For Pin: 687195867444,626736521624,0
2680061626240,PinOT_KW0_LAL810PxTopGL_C07PApplSv2_LPX_C0721_US_TR_XP13x_off1,626737772159,1
2680059701202,Ad Group For Pin: 687195412196,626735481562,7
2680060191042,Ad Group For Pin: 687195341830,626735453375,0
2680061329396,PinOT_KW0_LAL810xTopGL_C04Uni-B_LPA_C0420_US_TR_GE_off0,626737625128,24
2680060085905,Ad Group For Pin: 687195511603,626735531410,4
2680061700673,PinOT_KW3_AllPages180_C04i34-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597821,43
2680060918224,Ad Group For Pin: 687196145503,626736643107,22
2680060093729,Ad Group For Pin: 687195307843,626734653437,3
2680060086315,Ad Group For Pin: 687195511683,626735531474,1
2680062390624,New_Pin2Tap_KW2s_Beauty_Broad-Nailcare_TopGL_i32W_LPA_C0301_US_TR_XP11_iOS_Off1,626739728884,8
2680059815237,Ad Group For Pin: 687195441195,626735495738,5
2680061536934,PinOT_KW0_LAL810PxMakeupXL2_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_Vhigh,626737727560,26
2680060391444,Ad Group For Pin: 687195624661,626735594666,44
2680060524594,Ad Group For Pin: 687195756169,626735668385,23
